,company_id,name,description,company_size,state,country,city,zip_code,address,url
3321,38046,Reyes Holdings,"Reyes Holdings is a global leader in the production and distribution of food and beverage products. Annually, we deliver over 1.3 billion cases from 200+ locations worldwide with the support of 36,000+ talented employees. Our operations include three business units: Reyes Beverage Group, the largest beer distributor in the United States representing import, craft and domestic beer brands; Martin Brower, a global quick-service restaurant distribution business and the largest supplier worldwide of distribution services to the McDonald’s restaurant system; and Reyes Coca-Cola Bottling, a Midwest and West Coast bottler and distributor of Coca-Cola products. 
 
Founded in 1976 with a Schlitz beer distributor, Reyes Holdings has grown to become the 7th largest privately held company in the United States with annual sales in excess of $40 billion. It remains a privately held, family-run business to this day.
 
We are proud to partner with a diverse portfolio of brands, including Modelo, Coors Light, Miller Lite, Whiteclaw, McDonalds, Chick-Fil-A, Chipotle, Coca-Cola, Smart Water, Minute Maid, Monster and Body Armor.",7.0,IL,US,Rosemont ,60018,6250 N. River Road ,https://www.linkedin.com/company/reyes-holdings
3349,38879,ID Technology,"ID Technology, a division of Pro Mach, is a manufacturer and integrator of labeling, coding and marking equipment. The ID Technology product line includes Label Applicators, Label Printer Applicators, RFID Solutions, Inkjet Printers, Laser Coders, Thermal Transfer Overprinters, Scanners, Verifiers, Software, Supplies as well as Field and Depot Service.",2.0,TX,US,Fort Worth,76137,5051 North Syvania Avenue,https://www.linkedin.com/company/id-technology
3353,38913,"GAI Consultants, Inc.","Transforming ideas into reality® since 1958, GAI Consultants is an engineering, planning, and environmental consulting firm that provides customized solutions and local expertise to clients in the energy, transportation, development, government, and industrial markets.

To learn more about working at GAI, visit our online application site at http://careers.gaiconsultants.com.",4.0,PA,US,Homestead,15120,GAI-Pittsburgh,https://www.linkedin.com/company/gai-consultants-inc-
3361,39168,Ideal Image,"As North America’s #1 medical aesthetics provider, Ideal Image leads the category by delivering affordable and effective face and body treatments through the industry’s largest network of doctors and licensed professionals. With over 20 years of experience and more than 20 million FDA-cleared treatments performed, Ideal Image is an industry trailblazer committed to offering an innovative and effective suite of products and services that are medically led and backed by science. Ideal Image provides a personalized and premium experience grounded in transparency that delivers real results and empowers women through every step of their self-care journey. Follow along as @idealimage transforms aesthetics into a space that celebrates individuality and redefines the beauty ideal.",5.0,Florida,US,Tampa,0,1 N Dale Mabry Hwy,https://www.linkedin.com/company/ideal-image
3373,39423,Nufarm,"Nufarm is the trusted global partner behind thousands of agricultural success stories. Working side by side with advisors and distributors, we help farmers grow a better tomorrow.

For more than 100 years we’ve been finding more effective ways to fight disease, weeds and pests to protect and improve crop yields. Today, we are one of the world’s leading developers and manufacturers of crop protection solutions and seed technologies. 

We’re known for our service and hands-on support, working with distributors to give farmers the right product for the job so they get more from their land.

Our crop protection footprint spans key global agricultural markets with a focus on North America, Europe and Asia Pacific. Nufarm is listed on the Australian Securities Exchange (ASX:NUF) and our head office is in Melbourne, Australia.
",5.0,VIC,AU,Laverton North,3026,103-105 Pipe Road,https://www.linkedin.com/company/nufarm
3395,40018,Blue Origin,"We are building a road to space for the benefit of Earth, humanity’s blue origin. Our team is focused on radically reducing the cost of access to space and harnessing its vast resources while mobilizing future generations to realize this mission. Blue Origin builds reusable rocket engines, launch vehicles, in-space systems, and lunar landers. Discover more at BlueOrigin.com. 

*We hope you engage with us and our community. However, we reserve the right to remove derogatory or off-topic comments. Thank you for understanding.*",7.0,WA,US,Kent,0,0,https://www.linkedin.com/company/blue-origin
3417,40783,Inceed,"Get a peak at the *real* Inceed ➤➤➤ Hit the ""Videos"" tab above. 

Oh, hello! It’s hard to talk about ourselves in such few words. And, honestly, it feels really weird to just highlight our best qualities. But we’re also super proud to be:

• Recognized as the Top 2% of all staffing companies
• Multi-Winner of the Best of Staffing award
• Winner of Forbes America’s Best Recruiting Firms
• Winner of Forbes America’s Best Temp Staffing Firms
• Partners to Fortune 500 companies & small businesses alike
• Specialized in IT and Business & Finance

We are a company full of talented, passionate, hard-working, people-loving individuals. As mentioned, the majority of our time is spent in the technology and finance field. But no matter the job, our mission stays the same: Match amazing talent with our equally-amazing clients.

That’s just how the Inceed team does it. We are a family of like-minded individuals who value and believe in our process. Honesty. Transparency. A desire to build relationships.  After all, how can we know if it’s a culture fit, a lifestyle fit, a passion fit, if we don’t truly know the person behind the resume?

The way we see it, it’s not a “numbers” game. It’s a “let’s change a life” game. 

We’re not gonna lie, we’re pretty darn good at it.
",2.0,Oklahoma,US,Tulsa,74120,"907 S. Detroit, Suite 1300 Tulsa",https://www.linkedin.com/company/inceed
3425,41004,Lowes Foods,"Lowes Foods began in 1954 as a single store in North Wilkesboro, NC, and has grown to become a major supermarket chain operating in North Carolina, South Carolina and Virginia. 

The company grew rapidly during the 1960s, '70s and early '80s. Lowes Foods was acquired by Merchants Distributors, Inc. (MDI) in 1984 and began an aggressive expansion program in 1986, opening 19 stores over the next four years. In 1997, Lowes Foods acquired Byrds Food Stores, located in eastern North Carolina. It continued its growth in 2000 with the purchase of 13 Hannaford stores. Today Lowes Foods operates close to 100 stores and continues to open new stores throughout North and South Carolina. Lowes Foods continued to expand by opening its first Lowes Foods Fuel station in 2007. In 2010, a new Lowes Foods concept store was opened in Hickory, NC and in 2011, we introduced a new value format called Just$ave.
 
In 2013, Lowes Foods set out to break the mold of the standard supermarket and create a distinctive grocery shopping experience worthy of our Carolina roots. The development began with in depth consumer research and a series of overnight workshops designed to get the very best ideas from managers across all facets of the business including all store managers and many from MDI. During these workshops, our new vision for Lowes Foods was born: “We bring community back to the table.” And, a number of new concepts were created including Chicken Kitchen, SausageWorks, Pick & Prep, and the Community Table. In January, 2013, Lowes Foods re-opened the first store to offer all of the newly developed concepts in Clemmons, NC. This spirit of transformation is being carried through all of the Lowes Foods and Just$ave stores. And, the spark of innovation has led to continued development of new concepts to further differentiate our stores. While selection may vary from store to store, our commitment to quality, value and service are the same no matter where you shop.",6.0,North Carolina,US,Winston-Salem,27103,1381 Old Mill Circle,https://www.linkedin.com/company/lowes-foods
3432,41089,Phibro Animal Health,"Our story begins with a goal of contributing to a healthy, affordable food supply by helping farmers responsibly care for their animals. With determination and integrity, we have grown into a global company. Now 1,700 strong, our team values the trust placed in our products and our people.

Our commitment to excellence is demonstrated every day by members of our team, who like to say, “it’s just what we do” when really… it is who we are. Our broad portfolio of products, backed by in-house manufacturing, innovative research and exceptional service, are the core of our partnerships with farmers, ranchers and veterinarians. With a growing line of natural, sustainably produced products, we offer responsible solutions to help support the health of all animal species, including cattle, poultry, swine and aquaculture.

Our future looks extremely bright, guided by the same commitment to integrity and hard work that brought us to where we are today. Our beliefs and responsibilities, shared below, are core to our operations each and every day.

Purpose: Optimize animal health and nutrition for better lives and a more sustainable world.

Mission: Provide safe and effective solutions for our customers'​ unique challenges.

Beliefs: At Phibro Animal Health Corporation we believe in:
- Keeping Animals Healthy
- Doing the Right Thing
- Focusing on Our Customers
- Continuous Investment in Our People
- Success is Built on a Passion for Excellence
- Individuals Make an Impact
",5.0,NJ,US,Teaneck,07666,"Glenpointe Centre East, 3rd Floor",https://www.linkedin.com/company/phibro-animal-health
3469,41854,Bolthouse Farms,"Our story begins in 1915 in Grant, Michigan where the Bolthouse family started farming vegetables. When William Herman Bolthouse took over the farm from his parents in 1938, he expanded and focused on the production and distribution of carrots. By 1950, Bolthouse Farms was a leading carrot supplier in the Midwest known for flavor and quality. In 1973, a second facility in Bakersfield, California was opened where year-round production was possible allowing broader distribution. 

In the 1990s, Bolthouse Farms brought a breakthrough product to the marketplace. Frustrated with the waste in the carrot business, a local Bolthouse Farms grower peeled and cut “ugly” carrots into pieces and sold them in bags. With that simple act, baby carrots were born, transforming the entire industry. Baby carrots seemed to make Americans eat more carrots, helping to double carrot consumption in the U.S. in the decade after they were introduced. 

For more than a century, Bolthouse Farms has been known as the innovation leader in growing and distributing carrots and high-quality, innovative branded products. Employing more than 2,200 people and still headquartered in Bakersfield in California’s fertile San Joaquin Valley, Bolthouse Farms is one of the largest carrot growers and distributors in the U.S. Guided by our vision – Plants Powering People – we produce and sell super-premium juices, smoothies, café beverages, protein shakes, functional beverages and premium refrigerated dressings all under the Bolthouse Farms® brand name.",5.0,CA,US,Bakersfield,93307,7200 East Brundage Lane,https://www.linkedin.com/company/bolthouse-farms
3477,42007,Choice Logistics,"For nearly 60 years, Choice has helped the world’s leading companies enter new markets, scale and grow faster. We offer clients a single point of contact, global resources and expertise to deliver end-to-end supply-chain strategy and execution via customized, comprehensive, integrated solutions including transportation management, finished goods distribution, returns management, and global trade solutions. Choice leverages proprietary technology to deliver these solutions across its global infrastructure which includes ten, strategically located, distribution centers and 450 forward stocking locations on six continents and more than 100 countries with the ability to activate hundreds more at a moment's notice. As a pioneer in the service supply chain industry, Choice Logistics has remained the authority and clear choice to enabling and differentiating our clients’ supply chain.",3.0,Pennsylvania,US,Wayne,19087,656 Swedesford Rd,https://www.linkedin.com/company/choice-logistics
3485,42211,DigiKey,"We’re a full-service partner offering design tools, business solutions, and the world’s largest selection of in-stock electronic components.

Since its founding in 1972, Digi-Key has been committed to offering the broadest selection of in-stock electronic components, as well as providing the best service possible to its customers, aiding engineers through the entire design process, from Prototype to Production®. This has led the company to be highly ranked year after year in industry surveys, in North America as well as Europe and Asia, in categories covering such facets of business as availability of product, speed of service, responsiveness to problems, and more.

The content and services we offer on our website continue to rapidly evolve, and we are committed to providing you with full access to Digi-Key's products and services through the Internet.",5.0,Minnesota,US,Thief River Falls,56701,701 Brooks Ave S,https://www.linkedin.com/company/digikey
3519,43010, Optima Global Solutions Inc.,"Optima Global Solutions, Inc. provides solutions, services and consulting resources that help progressive organizations automate their internal business processes. This results in increased efficiency, lower operating costs, fewer processing errors, greater employee productivity, improved reliability and accuracy for their stakeholders, customers, employees, vendors, and business partners.

Optima builds and optimizes Intelligent Automation Solutions that combine intelligent data capture with business process management best practices to streamline your business operations and increase your bottom line. This includes accounts payable processing, employee onboarding, expense tracking, sales order processing, vendor management, and custom applications.

Leveraging Kofax Intelligent Automation Platform, Optima solutions eliminate manual data entry inconsistencies and backlogs while adding controls to ensure compliance and analytics to measure success.

Optima’s Consulting Services practice provides our clients with highly productive IT professionals from a pool of the best and most talented technology resources based in the USA. Their specialists are available to assist on a short or long-term basis, offering their domain and technical knowledge. The practice focuses on providing On-demand Consulting, Contract-to-Hire, and Permanent Placement IT resources that are local and highly experienced, often with niche technology skills; typically filling the positions other vendors are unable to fill.",2.0,NJ,US,LAWRENCEVILLE,08648,133 FRANKLIN CORNER ROAD,https://www.linkedin.com/company/optima-global-solutions
3540,43707,Aegis Living,"Aegis Living is a leader in senior assisted living and memory care. With more than 25 years of experience, Aegis Living is known for its deep expertise in supporting residents along the continuum of care, from light assistance to advanced dementia; innovative programming and a focus on upscale, purpose-built design; and an employee-centric company culture. With every community, Aegis Living creates a living environment where residents can
feel at home and inspired to live life to the fullest. The privately held, family-owned company is headquartered in Bellevue, Washington, and operates 36 communities in Washington, California, and Nevada, with a number of additional communities in development.

From best places to work to leadership, philanthropy and industry design accolades, Aegis Living is recognized nationally and internationally for an unmatched approach to senior assisted living. A full list of awards is available online.

2022 & 2021 - Aegis certified by Great Place to Work
2021 - Aspect Marketing Award
2021 - PSBJ Corporate Citizenship List
2021 - PSBJ Largest Family-Owned Business
2020 - Peer Awards for Excellence Overall Winner
2021 - Puget Sound Business Journal Power 100
2019 - Puget Sound Business Journal's Eastside Fastest-Growing Private 
2019 - Argentum Leaders Under 40, Adam Clark, VP of Innovation and Technology
2019 - Puget Sound Business Journal's Middle Market Fast 50 in WA

To view previous awards, go to https://www.aegisliving.com/about/awards/.

SOCIAL MEDIA POLICY: Profanity, threats, discriminatory language and other spam-type comments are not tolerated. Such comments will be deleted, and repeat offenders will be blocked.",5.0,WA,US,Bellevue,98005,415 118th Avenue SE,https://www.linkedin.com/company/aegis-living
3554,44064,City of Modesto,"City of Modesto Linked in Page. Please visit us at http://www.modestogov.com. For employment information, please go to http://www.modestogov.com/employment",5.0,California,US,Modesto,95354,1010 10th St,https://www.linkedin.com/company/city-of-modesto
3581,44795,Morgan Properties,"Established in 1985 by Mitchell Morgan, Morgan Properties is a national real estate investment and management company headquartered in King of Prussia, Pennsylvania. Jonathan and Jason Morgan represent the next-generation leaders growing the platform and overseeing the business operations. Morgan Properties and its affiliates currently own and manage a multifamily portfolio comprised of more than 350 apartment communities and over 95,000 units located in 19 states. The Company is among the three largest multifamily owners in the nation and the largest in Pennsylvania, Maryland, and New York. With over 2,200 employees, Morgan Properties prides itself on its quick decision-making capabilities, strong capital relationships, and proven operational expertise. 
Learn more about Morgan Properties at www.morganproperties.com.",5.0,PA,US,King of Prussia,19406,160 Clubhouse Rd,https://www.linkedin.com/company/morgan-properties
3645,46529,EMPLOYERS,"EMPLOYERS focuses on workers' compensation insurance and services for America's small businesses. With operations from coast to coast, we're trusted to protect independent, entrepreneurial companies and their workers in a variety of industries. Our teams are leading the charge towards modernizing insurance for today's business owners, using the experience, stability, knowledge and resources policyholders have relied on since 1913 as our foundation.

EMPLOYERS and America's small business insurance specialist are registered trademarks of EMPLOYERS Insurance Company of Nevada. Insurance is offered through Employers Compensation Insurance Company, Employers Insurance Company of Nevada, Employers Preferred Insurance Company, and Employers Assurance Company. Not all insurers do business in all jurisdictions. ",4.0,NV,US,Henderson,89074,0,https://www.linkedin.com/company/employers
3648,46648,Hydrogen Group,"At Hydrogen Group, we enable people to live healthier, happier, more fulfilling and more successful lives in a rapidly changing world. We do this every day by giving people the tools they need to thrive. We know what works for one person, or business, won’t suit another, but if we can truly understand what type of people will thrive in your business, or what you need to Thrive in your own role, we’ll help you find that person or organisation to help you do just that. 

 Our purpose will ensure that the people we work with are able to thrive, at work and in life.  

We think this is a big idea that can make life better for our candidates and clients and all people. Hydrogen and Argyll Scott will help people feel good about themselves and help them to understand what success looks like for them, providing clarity and confidence in a changing world. 

Hydrogen Group is a global award winning, market-leading, specialist recruitment group. Operating a portfolio of brands from offices across nine countries, we support the world’s leading businesses by recruiting the brightest talent. Our specialist teams of around 300 staff know their markets inside out. Last year we enabled the careers of nearly 2,000 people by finding their next permanent move or contracting opportunity, helping them to thrive in our changing world. ",3.0,Greater London,GB,London,EC2R 8EJ,1 Poultry,https://www.linkedin.com/company/hydrogen-group
3659,46852,Keuka College,"Since our founding in 1890 as a spiritually centered college of liberal arts and practical learning, Keuka College has graduated generations of humanists and scientists, contributive citizens and caring leaders: women and men energetically engaged in the art of leading productive and fulfilling lives. 

The faculty and staff of the College work together in the spirit of fellowship and shared endeavor to provide an intellectually and experientially explorative, responsive and effective education—one rooted in the liberal arts and sciences, committed to pre-professional preparation in the classroom and out in the field, and focused on developing in each student the cultural,
historical and computational literacy necessary to achieve personal success in a world eager for people able to think both critically and creatively.

Our mission is to create exemplary citizens and leaders who serve the nation and the world.",3.0,NY,US,Keuka Park,14478,141 Central Avenue,https://www.linkedin.com/school/keuka-college/
3663,46954,Igloo Products Corp.,"Born from a modest metalworking shop back in 1947, Igloo has been instrumental in redefining how we live, work and play. What began with bringing clean water to the worksite quickly moved into super-functional, best in class ice chests. Igloo products made the family outdoor recreation movement of the 20th century possible. Suddenly, taking your kids camping on the weekend became easy and cross-country roadtrips became a summer vacation staple.",4.0,Texas,US,Katy,77494,777 Igloo Rd,https://www.linkedin.com/company/igloo-products-corp
3673,47158,Messer Construction Co.,"Messer Construction Co. is a construction manager and general contractor, providing leadership for complex, commercial construction projects in the Aviation, Federal/Military, Food and Beverage, Health Care, Higher Education, Manufacturing, and Science and Technology market segments. An employee-owned company, Messer’s transformational investment in its people, communities and innovative building solutions has enhanced the landscape of the 11 regions throughout the Midwest and Southeast in which its employees live and work. A local builder with national resources and expertise, the company has delivered value for 90 years through quality construction and client experiences, taking care to both exceed customer expectations and build long-term relationships.

**Our relationship with our employee-owners is paramount and as such all employment candidates should expect an in-person meeting prior to a job offer. ",5.0,Ohio,US,Cincinnati,45203,643 W. Court Street,https://www.linkedin.com/company/messer-construction-co
3676,47260,Powell,"Powell is hiring! - Powell is dedicated to improving people’s lives by providing reliable power distribution systems in every market we serve. From industrial to renewables we play a part in providing communities across the globe access to electricity, Powell takes pride in listening to our customers, understanding their needs, and proposing innovative and cost-efficient solutions. As a global manufacturer, we utilize our Core Values: Customer First, Respect for our Employees, Continuous Improvement and “Can-Do” Attitude, to solve our customers’ toughest problems. 

At Powell, we believe in being a partner to our customers by providing innovative engineered electrical power solutions and services. Our offerings include: low & medium voltage electrical distribution packages, electrical and valve servicing, and a wide number of automation systems to increase the overall safety of your system. 

Be sure to follow us for updates & to visit our website for more information:
powellind.com

An Equal Opportunity Employer/Vet/Disability",5.0,Texas,US,Houston,77075,8550 Mosley Road,https://www.linkedin.com/company/powell
3715,48654,CROSSMEDIA USA,"Welcome to Crossmedia, an independent channel-driven agency delivering communications planning, media services and international account management. We have offices in New York, Philadelphia, London, Düsseldorf, Hamburg, Bielefeld and Berlin. 

Our mission is to prove that media can be a differentiator in the communications process. 

How do we do it? Crossmedia was born out of a passion to establish an agency model that focuses on what media agencies should do: create innovative, participatory connections between brands and people regardless of channel or budget. Crossmedia teams are structured to mirror the way consumers interact with media – fluid, flexible and channel-neutral. We’re not specialists forced together. Rather, we are cross-trained individuals who manage insights, planning, execution and measurement across all channels. 

Twenty four years after we started, we see a paradigm shift in how media agencies are structured, mirroring the Crossmedia approach. The difference is that we were born this way.

For a peek into XM Nation, check us out at www.xmedia.com",3.0,0,US,New York,10001,275 7th Ave,https://www.linkedin.com/company/crossmediausa
3726,49028,Drake Software,"Drake Software, a private company founded in 1977, provides software solutions to over 70,000 tax and accounting firms that file more than 40 million tax returns every year. Known for its award-winning customer service team, Drake is also consistently recognized for excellence in quality, value, and reliability. As part of its commitment to innovation and customer success, the company has continued to expand product offerings, integrations, and customer-service efforts—more than doubling its customers over the past decade. For more information, visit DrakeSoftware.com or call 800.890.9500.",4.0,Western North Carolina,US,Franklin,28734,235 East Palmer Street,https://www.linkedin.com/company/drake-software
3761,50150,Project HOME,"Project HOME (Housing, Opportunities for Employment, Medical Care, Education) empowers people to break the cycle of homelessness, address the structural causes of poverty, and attain their fullest potential as members of society. We strive to create a safe and respectful environment where we support each other in our struggles for self-esteem, recovery, and the confidence to move toward self-actualization.",3.0,PA,US,Philadelphia,19130,1515 Fairmount Ave,https://www.linkedin.com/company/project-home-phl
3774,50507,T.D. Williamson,"For more than 100 years, TDW has delivered innovative solutions across the pipeline system lifecycle for gathering, transmission and distribution operators. Our people, products and services maximize uptime, improve throughput, avoid shutdown and minimize risk. Team members and channel partners on six continents help pipeline operators safely deliver energy to a growing world while also addressing evolving regulatory and climate challenges. Together, we’re working to keep product in the pipe and emissions out of the air, to prepare pipelines to transport future energy products and to protect the planet by meeting net-zero ambitions.",5.0,OK,US,Tulsa,74136,6120 South Yale,https://www.linkedin.com/company/tdw
3776,50609,The Morgan Library & Museum,"A museum and independent research library located in the heart of New York City, the Morgan Library & Museum began as the personal library of financier, collector, and cultural benefactor Pierpont Morgan. The Morgan offers visitors close encounters with great works of human accomplishment in a setting treasured for its intimate scale and historic significance. Its collection of manuscripts, rare books, music, drawings, and works of art comprises a unique and dynamic record of civilization, as well as an incomparable repository of ideas and of the creative process from 4000 BC to the present.",2.0,NY,US,New York,10016,225 Madison Ave,https://www.linkedin.com/company/the-morgan-library-&-museum
3780,50711,Williams,"As the world demands reliable, low-cost, low-carbon energy, Williams will be there with the best transport, storage and delivery solutions. We make clean energy happen by being the best-in-class operator of the critical infrastructure that supports a clean energy future.",6.0,Oklahoma,US,Tulsa,74103,One Williams Center,https://www.linkedin.com/company/williams-company
3848,52615,MANE,"MANE is one of the worldwide leaders in the fragrance and flavour design industry.
By nature, we are very sensitive to the new trends that build desire and emotions. 
At MANE, We Capture What Moves.
MANE fait partie des leaders de l'industrie des parfums et des arômes. 
Nous détectons et identifions les tendances olfactives et gustatives de demain en créant des fragrances intemporelles.",6.0,Alpes Maritimes,FR,Le Bar-sur-Loup,06620,620 route de Grasse,https://www.linkedin.com/company/mane
3856,52768,BlueSnap,"At BlueSnap, we look at payments a little differently. Our Payment Orchestration Platform helps businesses accept payments globally and is designed to increase revenue and reduces costs. We provide a comprehensive back-end solutions that simplifies the complexity of payments, managing the full process from start to finish.

BlueSnap supports payments through multiple sales channels such as online and mobile sales, marketplaces, subscriptions, invoice payments and manual orders through a virtual terminal. And for businesses looking for embedded payments, we offer white-labeled payments for platforms with automated underwriting and onboarding that supports marketplaces and split payments.

And with one integration and contract, businesses can sell in over 200 geographies with access to local acquiring in 47 countries, 110+ currencies and 100+ global payment types, including popular eWallets, automated accounts receivable, world-class fraud protection and chargeback management, built-in solutions for regulation and tax compliance, and unified global reporting to help businesses grow.

With a US headquarters in Waltham, MA, and EU headquarters in Dublin, Ireland, BlueSnap is backed by world-class private equity investors including Great Hill Partners and Parthenon Capital Partners. 

Learn more at BlueSnap.com",3.0,MA,US,Boston,0,.,https://www.linkedin.com/company/bluesnap
3872,53193,Rinnai America Corporation,"Rinnai America Corporation, a subsidiary of Rinnai Corporation in Nagoya, Japan, was established in 1974 and is headquartered in Peachtree City, Georgia. Rinnai Corporation manufactures gas appliances including tankless water heaters, a wide range of kitchen appliances and heating and air conditioning units. As the technology leader in its industry, Rinnai is the largest gas appliance manufacturer in Japan and is the number-one selling brand of tankless gas water heaters in North America. Annual corporate revenues, including those of its subsidiaries, are in excess of $3.1 billion. With a global perspective to create 21st century products for the home and business, Rinnai Corporation commits itself to safety and the pursuit of comfortable lifestyles. For more information about Rinnai’s entire product line, visit rinnai.us.",3.0,GA,US,Peachtree City,30269,103 International Drive,https://www.linkedin.com/company/rinnai
3987,57171,Sumitomo Mitsui Trust Bank Limited New York Branch,"Sumitomo Mitsui Trust Bank, Limited (SuMi TRUST) was established through the merger of The Sumitomo Trust and Banking Co., Ltd. with Chuo Mitsui Trust and Banking, Ltd. and  Chuo Mitsui Asset Trust and Banking Company, Ltd. on April 1, 2012. SuMi TRUST is Japan’s largest trust bank, with AUM of more than $800 Billion USD. SuMi TRUST provides an assortment of financial solutions and manages a broad spectrum of financial products across its global branches.
The SuMi TRUST NY Branch manages a $35 Billion USD portfolio of corporate debt investments in the United States, with an emphasis on stable income generation, with decades of proven business success. Our areas of expertise include leveraged loans, CLOs, middle-markets, corporate bonds and project financing. SuMi TRUST continues to strive towards excellence and future growth with dedication to our employees and customers.",3.0,NY,US,New York,10020,1251 Avenue of the Americas,https://www.linkedin.com/company/smtbny
3994,57409,The Richmond Group USA,"As we are celebrate our 55th year in business, The Richmond Group USA (TRG) has built its reputation as one of the nation’s most established and successful recruiting firms. Very few full-service staffing firms can boast that feat and it just proves our processes and techniques are unparalleled in the industry.

Ever since 1967, our birth year, TRG has maintained the highest standards of professional, confidential, and ethical service. We undertake thorough background checks of every candidate and go to great lengths to protect the privacy of our clients and candidates. Unlike many other firms in the business, we do not directly recruit the employees of our clients.

It would be a red flag if a recruiting firm couldn’t place the best people in positions for their specialty areas. As a result, our team is highly trained industry specialists with significant knowledge in their areas of expertise. Time after time, they succeed in difficult search placements because of their strong research and communication skills, not to mention, their extensive industry contacts. A warm lead, is always better than a cold one. 

Don’t let the name fool you, our reach is well beyond the Richmond city limits. We have clients and place candidates all over the world, showing no signs of slowing down but continuing to build on our market reach each and every day.

The Richmond Group USA is the original member of the TRG Family of Companies. In addition to our full-service recruiting firm, we have several other members of the family to help our clients and candidates with all of their needs; PeopleSolutions, WorkRocket, HealthTrust Advisors, and Prime Legal.

Why do we do what we do…because people matter.",1.0,Virginia,US,Three Chopt,23229,8003 Franklin Farms Dr,https://www.linkedin.com/company/the-richmond-group-usa
4004,57749,Access Sciences,"Access Sciences is a consulting and business process outsourcing firm specializing in information governance, technology enablement, and business strategy. Employee and woman-owned based in Houston, TX since 1985, our dynamic team of industry experts architect, build and sustain information management strategies and solutions that enable our clients to derive maximum value from their information assets. 

This is our mission... we refer to it as ""taming information chaos"" in the form of purpose-driven projects and managed services programs that proceed through direct management of clients’ information services on their behalf at their sites. ",2.0,Texas,US,Houston,77027,1900 West Loop South,https://www.linkedin.com/company/access-sciences
4006,57902,Broadway Bank,"For more than 80 years, Broadway Bank has been an integral part of Texas, evolving into one of the largest privately-owned banks in the Lone Star State. Broadway Bank offers a full range of financial services, including personal, private, business and mortgage banking, and wealth management, and is committed to enhancing the banking experience through leading-edge technology. With Financial Centers and offices across San Antonio, Dallas, Austin, Houston and the Hill Country, Broadway Bank delivers modern banking, locally sourced and personally delivered. Founded in 1941 by the Cheever Family, Broadway has evolved from a small neighborhood bank into one of the largest privately-owned banks headquartered in San Antonio. Broadway Bank is a proud member of the FDIC. 
 
At Broadway Bank, we provide opportunities for employees to achieve career growth and reap rewards from their own high performance--creating a positive work environment. We're proud to be recognized as a top workplace for six years in a row, winning #1 Best Place to Work in the Extra Large Company category by the San Antonio Business Journal in 2023.",4.0,Texas,US,San Antonio,78209,1177 N.E. Loop 410,https://www.linkedin.com/company/broadway-bank
4037,58888,Enerflex Ltd.,"Enerflex is a premier integrated global provider of energy infrastructure and energy transition solutions, deploying natural gas, low-carbon, and treated water solutions – from individual, modularized products and services to integrated custom solutions. 

With over 4,800 engineers, manufacturers, technicians, and innovators, Enerflex is bound together by a shared vision: Transforming Energy for a Sustainable Future. The Company remains committed to the future of natural gas and the critical role it plays, while focused on sustainability offerings to support the energy transition and growing decarbonization efforts.  

Headquartered in Calgary, Alberta, Canada, Enerflex and its affiliated entities operate in over 70 locations in: Canada, the United States, Argentina, Bolivia, Brazil, Colombia, Mexico, Peru, the United Kingdom, the United Arab Emirates, Bahrain, Oman, Egypt, Iraq, Nigeria, Pakistan, Saudi Arabia, Australia, Indonesia, and Thailand. Enerflex's common shares trade on the Toronto Stock Exchange under the symbol ""EFX"" and on the New York Stock Exchange under the symbol ""EFXT"". ",5.0,Alberta,CA,Calgary,T2G OK3,1331 Macleod Trail SE,https://www.linkedin.com/company/enerflex-ltd-
4059,59755,Modern Office Methods,"Modern Office Methods offers a full suite of office automation products, integrating managed print services and various state-of-the-art technologies that enable our clients to reduce costs and improve productivity. MOM's complete product lines from Ricoh/Lanier, Canon, and HP enable us to offer our clients the convenience of one-stop shopping for their office equipment and support needs. With four offices in Cincinnati, Dayton, Columbus and Zanesville, Ohio, MOM has been enhancing its clients'​ effectiveness and productivity for over 60 years.",3.0,OH,US,Cincinnati,45242,4747 Lake Forest Drive,https://www.linkedin.com/company/modern-office-methods
4086,60588,Services for the UnderServed,"Services for the UnderServed (S:US) believes every New Yorker has the right to lead a life of purpose. 

Since 1978, S:US has been turning this belief into reality by advocating for people with life circumstances marked by homelessness, intellectual/developmental disability, behavioral health and addiction challenges, poverty, criminal justice involvement, and trauma. 

Our dedicated workforce of 1,800 provides services and supports to transform the lives of more than 37,000 individuals and families in New York City and Long Island. 

By delivering high quality services that address the complex circumstances of each individual, we help transform lives, improve neighborhoods, and break the cycle of poverty for current and future generations of New Yorkers.",5.0,New York,US,New York,10018,463 7th Avenue ,https://www.linkedin.com/company/services-for-the-underserved
4087,60605,Service Express,"Service Express is an industry-leading data center solutions provider specializing in multivendor maintenance, hybrid cloud and managed infrastructure services. 

Driven by nearly 1,000 team members worldwide, Service Express is committed to its people-powered culture and developing our people.   

Service Express has been recognized by Inc., Fortune, Forbes, Glassdoor, Best & Brightest and others.  

Visit serviceexpress.com and connect with us on Facebook and Instagram for more information.   ",5.0,Michigan,US,Grand Rapids,0,3855 Sparks Dr SE,https://www.linkedin.com/company/service-express-inc
